artist_names,track_name,peak_streams,total_streams,max_peak_rank,min_peak_rank,max_days_on_chart,best_day_streams,first_appearance,uri,source,count,best_day_date,duration_ms,explicit,is_local,popularity,track_number,release_date,album_total_tracks,album_name,spotify_uri,relase-chart_days,chart-best_days,release-best_days,relase-chart_days_bins,is_colab,artist_count
Mitski,My Love Mine All Mine,4862101,1305382271,189,2,468,4862101,2023-09-19,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Dead Oceans,468,2024-01-16,137773,False,False,87,7,2023-09-15,11,The Land Is Inhospitable and So Are We,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,4,119,123,<1 week,False,1
"Marshmello, Bastille",Happier,4279508,1302200882,63,2,823,4279508,2018-08-17,spotify:track:2dpaYNEQHiRxtZbfNsse99,Joytime Collective,823,2018-10-05,214289,False,False,11,1,2018-08-17,1,Happier,spotify:track:2dpaYNEQHiRxtZbfNsse99,0,49,49,0 days,True,2
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),3276823,1299978555,129,13,668,3276823,2017-07-21,spotify:track:7KA4W4McWYRpgf0fWsJZWB,Columbia,668,2024-10-30,180386,True,False,90,4,2017-07-21,14,Flower Boy,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0,2658,2658,0 days,True,3
"Rema, Selena Gomez",Calm Down (with Selena Gomez),3895947,1293111640,98,8,572,3895947,2022-08-26,spotify:track:0WtM2NBVQNNJLh6scP13H8,Mavin Records / Jonzing World,572,2023-01-27,239317,False,False,80,1,2022-08-25,1,Calm Down (with Selena Gomez),spotify:track:0WtM2NBVQNNJLh6scP13H8,1,154,155,<1 week,True,2
Bruno Mars,Locked out of Heaven,2951846,1290554810,195,21,926,2951846,2021-11-10,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Atlantic Records,926,2024-11-08,233653,False,False,54,2,2012-12-05,10,Unorthodox Jukebox,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,3262,1094,4356,4+ weeks,False,1
"Camila Cabello, Young Thug",Havana (feat. Young Thug),4949898,1288873382,86,1,793,4949898,2017-08-04,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,Syco Music/Epic,793,2017-11-11,216896,False,False,2,1,2017-08-03,1,Havana (feat. Young Thug),spotify:track:0ofbQMrRDsUaVKq2mGLEAb,1,99,100,<1 week,True,2
Conan Gray,Heather,3771797,1258938435,177,11,1056,3771797,2020-07-22,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Republic Records,1056,2023-12-03,198040,False,False,84,10,2020-03-20,12,Kid Krow,spotify:track:4xqrdfXkTW4T0RauPLv3WA,124,1229,1353,4+ weeks,False,1
Bad Bunny,Tití Me Preguntó,7640843,1253903760,6,4,436,7640843,2022-05-06,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Rimas Entertainment LLC,436,2022-05-06,243716,True,False,82,4,2022-05-06,23,Un Verano Sin Ti,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,0,0,0,0 days,False,1
Roddy Ricch,The Box,7427860,1246296525,130,1,567,7427860,2019-12-12,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Atlantic Records,567,2020-01-17,196652,True,False,82,2,2019-12-06,16,Please Excuse Me for Being Antisocial,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,6,36,42,<1 week,False,1
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),5702794,1241791999,11,1,478,5702794,2022-12-02,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Republic Records,478,2022-12-05,221520,True,False,81,10,2022-12-02,15,HEROES & VILLAINS,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,0,3,3,0 days,True,3
