artist_names,track_name,peak_streams,total_streams,max_peak_rank,min_peak_rank,max_days_on_chart,best_day_streams,first_appearance,uri,source,count,best_day_date,duration_ms,explicit,is_local,popularity,track_number,release_date,album_total_tracks,album_name,spotify_uri,relase-chart_days,chart-best_days,release-best_days,relase-chart_days_bins,is_colab,artist_count
"Bizarrap, Natanael Cano","Natanael Cano: Bzrp Music Sessions, Vol. 59",4574307,94477485,10,10,41,4574307,2024-04-04,spotify:track:2DbV9TSdeGr5FobCFDRzvq,DALE PLAY Records,41,2024-04-04,155888,True,False,71,1,2024-04-02,1,"Natanael Cano: Bzrp Music Sessions, Vol. 59",spotify:track:2DbV9TSdeGr5FobCFDRzvq,2,0,2,<1 week,True,2
Jain,Makeba,1964433,94405242,184,53,64,1964433,2023-06-06,spotify:track:5JdLUE9D743ob2RtgmVpVx,Columbia,64,2023-06-30,249533,False,False,66,8,2016-10-21,10,Zanaka,spotify:track:5JdLUE9D743ob2RtgmVpVx,2419,24,2443,4+ weeks,False,1
Calboy,Envy Me,984322,94402452,200,88,120,984322,2019-02-24,spotify:track:05t7JMip6JrLuSrMV5yYjX,Polo Grounds Music/RCA Records,120,2019-05-08,120136,True,False,48,1,2018-12-13,1,Envy Me,spotify:track:05t7JMip6JrLuSrMV5yYjX,73,73,146,4+ weeks,False,1
Ava Max,Salt,1192430,94401169,193,63,104,1192430,2020-03-18,spotify:track:7vgv8KZBSo0TPzyIWG9yzV,Atlantic Records,104,2020-05-09,180283,False,False,3,1,2019-12-12,3,Salt,spotify:track:7vgv8KZBSo0TPzyIWG9yzV,97,52,149,4+ weeks,False,1
"Dionela, Jay R",sining (feat. Jay R),1867656,94325894,164,59,59,1867656,2024-07-21,spotify:track:1imaIe1NEAaWnLF0BY0V6F,Universal Music Philippines Inc.,59,2024-08-11,200000,False,False,80,1,2024-06-07,1,sining (feat. Jay R),spotify:track:1imaIe1NEAaWnLF0BY0V6F,44,21,65,4+ weeks,True,2
"Ed Sheeran, Travis Scott",Antisocial (with Travis Scott),4265602,94212394,7,6,61,4265602,2019-07-12,spotify:track:1DhRbox3xkceP64k3JeYfW,Atlantic Records UK,61,2019-07-12,161746,False,False,60,7,2019-07-12,15,No.6 Collaborations Project,spotify:track:1DhRbox3xkceP64k3JeYfW,0,0,0,0 days,True,2
Metallica,Master Of Puppets,2766757,94189680,184,12,64,2766757,2022-07-01,spotify:track:2MuWTIM3b0YEAskbeeFE1i,Blackened Recordings / Universal Music,64,2022-07-06,515386,False,False,77,2,1986-03-03,8,Master Of Puppets (Remastered),spotify:track:2MuWTIM3b0YEAskbeeFE1i,13269,5,13274,4+ weeks,False,1
Tom Grennan,Little Bit of Love,1011207,94090902,189,108,111,1011207,2021-04-30,spotify:track:3Iba59sFmGhQ4kbCY5L8AX,Insanity Records,111,2021-07-02,226268,False,False,64,3,2021-03-12,16,Evering Road (Deluxe),spotify:track:3Iba59sFmGhQ4kbCY5L8AX,49,63,112,4+ weeks,False,1
Fousheé,Deep End,1304129,94056642,191,62,92,1304129,2020-10-13,spotify:track:6HlE9t71z9DjGi7KqSyEpA,Not specified,92,2020-11-13,141223,True,False,60,1,2020-07-31,1,Deep End,spotify:track:6HlE9t71z9DjGi7KqSyEpA,74,31,105,4+ weeks,False,1
Taylor Swift,loml,12080644,94025099,12,12,35,12080644,2024-04-19,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,35,2024-04-19,277156,True,False,70,12,2024-04-18,16,THE TORTURED POETS DEPARTMENT,spotify:track:6RSG1dKPV5gEvILwJb4QtS,1,0,1,<1 week,False,1
Jonas Brothers,Like It's Christmas,4104021,94008428,149,44,66,4104021,2019-12-01,spotify:track:1OjmlSFuzYflWjSMTCyTJv,Jonas Brothers,66,2024-12-24,200880,False,False,60,1,2019-11-08,1,Like It's Christmas,spotify:track:1OjmlSFuzYflWjSMTCyTJv,23,1850,1873,3-4 weeks,False,1
blackbear,do re mi,966137,93957064,190,71,157,966137,2017-04-08,spotify:track:3Q3myFA7q4Op95DOpHplaY,Alamo,157,2017-05-03,212027,True,False,1,4,2017-04-08,10,digital druglord,spotify:track:3Q3myFA7q4Op95DOpHplaY,0,25,25,0 days,False,1
"Shawn Mendes, Khalid",Youth (feat. Khalid),2557760,93883889,106,17,74,2557760,2018-05-03,spotify:track:3Wf2YGdYT8xVdNsQSoRKk9,Island Records,74,2018-05-04,189973,False,False,0,1,2018-05-03,1,Youth (feat. Khalid),spotify:track:3Wf2YGdYT8xVdNsQSoRKk9,0,1,1,0 days,True,2
"Juice WRLD, Marshmello, The Kid LAROI, Polo G",Hate The Other Side (with Marshmello & The Kid Laroi),4353990,93766159,7,7,84,4353990,2020-07-10,spotify:track:66FgjA5ZQJJuypFG1bc8se,Grade A Productions/Interscope Records,84,2020-07-10,160212,True,False,0,8,2020-07-10,21,Legends Never Die,spotify:track:66FgjA5ZQJJuypFG1bc8se,0,0,0,0 days,True,4
Ozuna,El Farsante,762974,93685976,200,95,152,762974,2017-08-12,spotify:track:66gNNRsKkmECPQUrvpMQtS,VP Records Corp/Dimelo Vi,152,2017-10-07,231106,False,False,0,1,2017-08-10,17,Nivel Urbano,spotify:track:66gNNRsKkmECPQUrvpMQtS,2,56,58,<1 week,False,1
"PARTYNEXTDOOR, Rihanna",BELIEVE IT,2873556,93422322,16,16,81,2873556,2020-03-27,spotify:track:4HDCLYli2SUdkq9OjmvhSD,OVO Sound,81,2020-03-27,183219,True,False,1,10,2020-03-27,15,PARTYMOBILE,spotify:track:4HDCLYli2SUdkq9OjmvhSD,0,0,0,0 days,True,2
"Nea, Felix Jaehn",Some Say - Felix Jaehn Remix,1233129,93285326,128,68,98,1233129,2020-06-12,spotify:track:7C1trmcQQ5n5RNy4l6ziCv,Milkshake,98,2020-07-31,186878,False,False,64,1,2020-01-10,1,Some Say (Felix Jaehn Remix),spotify:track:7C1trmcQQ5n5RNy4l6ziCv,154,49,203,4+ weeks,True,2
aespa,Supernova,2565327,93267559,137,41,53,2565327,2024-05-13,spotify:track:2nPYPc5Ww4Nunu0FNCccPF,SM Entertainment,53,2024-05-28,178880,False,False,57,1,2024-05-13,1,Supernova,spotify:track:2nPYPc5Ww4Nunu0FNCccPF,0,15,15,0 days,False,1
Juice WRLD,Conversations,5271158,93242466,4,4,77,5271158,2020-07-10,spotify:track:2fZTS0VboxRpF0FdfY7E5P,Grade A Productions/Interscope Records,77,2020-07-10,181661,True,False,1,2,2020-07-10,21,Legends Never Die,spotify:track:2fZTS0VboxRpF0FdfY7E5P,0,0,0,0 days,False,1
Taylor Swift,You Belong With Me (Taylor’s Version),3056100,93209892,16,16,79,3056100,2021-04-09,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,79,2021-04-09,231124,False,False,80,6,2021-04-09,26,Fearless (Taylor's Version),spotify:track:1qrpoAMXodY6895hGKoUpA,0,0,0,0 days,False,1
Taylor Swift,Labyrinth,9841164,93147488,11,11,39,9841164,2022-10-21,spotify:track:0A1JLUlkZkp2EFrosoNQi0,Taylor Swift,39,2022-10-21,247962,False,False,71,10,2022-10-21,13,Midnights,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0,0,0,0 days,False,1
"Drake, SZA",Slime You Out (feat. SZA),5410869,93129754,13,3,39,5410869,2023-09-15,spotify:track:3RaCGXCiiMufRPoexXxGkV,OVO,39,2023-10-06,310490,True,False,68,1,2023-09-15,1,Slime You Out,spotify:track:3RaCGXCiiMufRPoexXxGkV,0,21,21,0 days,True,2
Niall Horan,Nice To Meet Ya,1404340,93072935,84,47,97,1404340,2019-10-04,spotify:track:3cphb8kdsjElYR7r5icK3H,Capitol Records,97,2019-10-31,158805,False,False,58,1,2019-10-04,1,Nice To Meet Ya,spotify:track:3cphb8kdsjElYR7r5icK3H,0,27,27,0 days,False,1
Eminem,The Ringer,5186590,93033398,1,1,60,5186590,2018-08-31,spotify:track:2jt2WxXMCD4zjACthkJQVE,Aftermath,60,2018-08-31,337941,True,False,62,1,2018-08-31,13,Kamikaze,spotify:track:2jt2WxXMCD4zjACthkJQVE,0,0,0,0 days,False,1
Henry Moodie,drunk text,1628766,92939828,195,86,67,1628766,2024-03-28,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He,Robots & Humans/Columbia,67,2024-05-10,187263,False,False,80,1,2024-01-26,6,in all of my lonely nights,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He,62,43,105,4+ weeks,False,1
XXXTENTACION,whoa (mind in awe),3566723,92864289,3,3,74,3566723,2018-12-07,spotify:track:7pdF27mSDuPWhppnHAmWHa,Bad Vibes Forever / EMPIRE,74,2018-12-07,157776,False,False,70,4,2018-12-07,10,SKINS,spotify:track:7pdF27mSDuPWhppnHAmWHa,0,0,0,0 days,False,1
One Direction,Story of My Life,4268457,92864103,185,11,47,4268457,2020-07-22,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,Syco Music,47,2024-10-18,245493,False,False,85,2,2013-11-25,18,Midnight Memories (Deluxe),spotify:track:4nVBt6MZDDP6tRVdQTgxJg,2431,1549,3980,4+ weeks,False,1
Adele,Skyfall,1643030,92767263,196,96,73,1643030,2021-10-15,spotify:track:6VObnIkLVruX4UVyxWhlqm,XL Recordings/Columbia,73,2024-09-03,286480,False,False,84,1,2012-10-04,1,Skyfall,spotify:track:6VObnIkLVruX4UVyxWhlqm,3298,1054,4352,4+ weeks,False,1
"Peso Pluma, Tito Double P",LOS CUADROS,1700577,92437887,125,93,66,1700577,2024-08-09,spotify:track:41EOhpn50qvd8iZSKw531W,2024 Double P Records,66,2024-08-30,160409,True,False,81,1,2024-08-08,1,LOS CUADROS,spotify:track:41EOhpn50qvd8iZSKw531W,1,21,22,<1 week,True,2
"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),4157585,92221401,7,7,56,4157585,2022-08-05,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,Friends Keep Secrets/Interscope Records,56,2022-08-05,172714,False,False,65,1,2022-08-05,1,Bad Decisions (with BTS & Snoop Dogg),spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,0,0,0,0 days,True,3
Adele,Water Under the Bridge,1272259,92219207,96,42,118,1272259,2017-01-01,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,XL Recordings,118,2017-02-15,240426,False,False,1,6,2016-06-24,11,25,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,191,45,236,4+ weeks,False,1
"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita - Remix,1091890,92145856,195,82,101,1091890,2019-11-26,spotify:track:1Xnn1TPyr5h0hpRAT4B4EA,Rich Music,101,2020-02-01,304733,True,False,61,1,2019-11-22,1,Bellaquita (Remix),spotify:track:1Xnn1TPyr5h0hpRAT4B4EA,4,67,71,<1 week,True,4
Miley Cyrus,Mother's Daughter,2634609,92062874,14,14,82,2634609,2019-05-31,spotify:track:2WyRfGeHo97VC5mP1BBSzr,RCA/Legacy,82,2019-05-31,219080,True,False,2,1,2019-05-31,6,SHE IS COMING,spotify:track:2WyRfGeHo97VC5mP1BBSzr,0,0,0,0 days,False,1
Post Malone,Stay,4105429,92029738,15,11,69,4105429,2018-04-27,spotify:track:4H7WNRErSbONkM06blBoGc,Republic Records,69,2018-04-27,204426,True,False,70,12,2018-04-27,18,beerbongs & bentleys,spotify:track:4H7WNRErSbONkM06blBoGc,0,0,0,0 days,False,1
Ayo & Teo,Rolex,773375,91910897,187,87,159,773375,2017-02-26,spotify:track:0pSBuHjILhNEo55xK1zrRt,Columbia,159,2017-04-14,238586,False,False,68,1,2017-02-26,1,Rolex,spotify:track:0pSBuHjILhNEo55xK1zrRt,0,47,47,0 days,False,1
Labrinth,Formula,1342136,91901136,200,53,89,1342136,2022-01-13,spotify:track:6EtKlIQmGPB9SX8UjDJG5s,Masterworks,89,2024-05-18,91869,False,False,76,2,2019-10-04,26,Euphoria (Original Score from the HBO Series),spotify:track:6EtKlIQmGPB9SX8UjDJG5s,832,856,1688,4+ weeks,False,1
"A Boogie Wit da Hoodie, Tyga, Offset",Startender (feat. Offset and Tyga),1295302,91846816,86,52,99,1295302,2018-12-21,spotify:track:0jAfdqv18goRTUxm3ilRjb,Highbridge the Label / Atlantic Records,99,2019-01-10,192779,True,False,58,5,2018-12-21,20,Hoodie SZN,spotify:track:0jAfdqv18goRTUxm3ilRjb,0,20,20,0 days,True,3
Nadhif Basalamah,penjaga hati,1543608,91826066,200,65,68,1543608,2023-10-14,spotify:track:7F4tV8SiUy6itZTdAzdafO,After School,68,2023-10-22,260346,False,False,73,1,2023-06-21,1,penjaga hati,spotify:track:7F4tV8SiUy6itZTdAzdafO,115,8,123,4+ weeks,False,1
"Justin Wellington, Small Jam",Iko Iko (My Bestie),1305195,91802654,185,62,91,1305195,2021-06-02,spotify:track:7MC4XR9M9amdmKQr2iDF7i,RCA Records Label,91,2021-06-25,182857,False,False,69,1,2019-06-03,1,Iko Iko (My Bestie),spotify:track:7MC4XR9M9amdmKQr2iDF7i,730,23,753,4+ weeks,True,2
"6ix9ine, Anuel AA",MALA (feat. Anuel AA),1585826,91628236,44,44,102,1585826,2018-11-28,spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,"ScumGang Records / TenThousand Projects, LLC",102,2018-11-28,206550,True,False,0,8,2018-11-27,13,DUMMY BOY,spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,1,0,1,<1 week,True,2
J. Cole,KOD,5838691,91462426,2,2,67,5838691,2018-04-20,spotify:track:7yotKA30dwTKNEGomV9ZsI,J. Cole P&D,67,2018-04-20,191436,True,False,61,2,2018-04-20,12,KOD,spotify:track:7yotKA30dwTKNEGomV9ZsI,0,0,0,0 days,False,1
"NATTI NATASHA, Becky G",Ram Pam Pam,1262521,91459204,178,66,92,1262521,2021-05-20,spotify:track:4DHDIdeayp8xvlyg22wREO,Sony Music Latin,92,2021-07-03,200785,True,False,59,1,2021-04-20,1,Ram Pam Pam,spotify:track:4DHDIdeayp8xvlyg22wREO,30,44,74,4+ weeks,True,2
"DJ Snake, Lauv",A Different Way (with Lauv),1130989,91337357,73,56,118,1130989,2017-09-22,spotify:track:0Wv5wuenRLI3BcwgT3HPIP,Geffen,118,2017-10-31,198285,False,False,0,1,2017-09-21,1,A Different Way (with Lauv),spotify:track:0Wv5wuenRLI3BcwgT3HPIP,1,39,40,<1 week,True,2
"Brytiago, Daddy Yankee, Ozuna, Anuel AA, Darell",Asesina - Remix,928395,91248633,174,111,124,928395,2018-11-02,spotify:track:59PYgzOiOjGDzjDT5N5oOX,Business Music,124,2018-11-09,327466,False,False,44,1,2018-10-31,1,Asesina (Remix),spotify:track:59PYgzOiOjGDzjDT5N5oOX,2,7,9,<1 week,True,4
"Metro Boomin, Gunna",Space Cadet (feat. Gunna),1418913,90944112,47,47,116,1418913,2018-11-02,spotify:track:5gub2bpJRgJP4m4MliqtdV,Republic Records,116,2018-11-02,203266,True,False,0,5,2018-11-02,13,NOT ALL HEROES WEAR CAPES,spotify:track:5gub2bpJRgJP4m4MliqtdV,0,0,0,0 days,True,2
"Super Yei, Sammy, Jone Quest, Towy, Osquel, Beltito, Sammy & Falsetto",Lean,1209374,90722392,197,71,96,1209374,2020-08-12,spotify:track:5DoLhdU27owX1NMrKLUbUl,Superiority,96,2020-09-26,260545,True,False,1,1,2017-03-31,1,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",spotify:track:5DoLhdU27owX1NMrKLUbUl,1230,45,1275,4+ weeks,True,4
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",It's A Vibe,759638,90573244,150,101,149,759638,2017-06-16,spotify:track:6H0AwSQ20mo62jGlPGB8S6,2Chainz PS/Def Jam,149,2017-09-01,210200,True,False,64,9,2017-06-16,16,Pretty Girls Like Trap Music,spotify:track:6H0AwSQ20mo62jGlPGB8S6,0,77,77,0 days,True,4
"Peso Pluma, Blessd",Las Morras,1744830,90400505,182,70,67,1744830,2023-04-15,spotify:track:7Lkxvfl2rkNYWS4kBDCQtN,Prajin Parlay Inc dba Prajina Records / Worms Music / Warner Music Colombia / Warner Music Latina / JM WORLD MUSIC / CIGOL,67,2023-04-29,155550,True,False,60,1,2023-04-04,1,Las Morras,spotify:track:7Lkxvfl2rkNYWS4kBDCQtN,11,14,25,1-2 weeks,True,2
Sam Smith,Like I Can,1543015,90306093,196,49,82,1543015,2021-08-20,spotify:track:0mJBiaODgK0XjOLCN5fItq,PLG - Capitol,82,2021-09-17,167065,False,False,51,7,2014-01-01,15,In The Lonely Hour (Deluxe),spotify:track:0mJBiaODgK0XjOLCN5fItq,2788,28,2816,4+ weeks,False,1
"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),2851367,90302275,19,19,70,2851367,2022-05-27,spotify:track:7fYRg3CEbk6rNCuzNzMT06,Columbia,70,2022-05-27,214459,True,False,62,1,2022-05-27,1,Potion (with Dua Lipa & Young Thug),spotify:track:7fYRg3CEbk6rNCuzNzMT06,0,0,0,0 days,True,3
"Major Lazer, MØ, DJ Snake",Lean On (feat. MØ & DJ Snake),560937,90271630,104,104,191,560937,2017-01-01,spotify:track:4WjH9Bzt3kx7z8kl0awxh4,Third Pardee Records,191,2017-01-13,176561,False,False,2,4,2015-05-29,9,Peace Is The Mission,spotify:track:4WjH9Bzt3kx7z8kl0awxh4,583,12,595,4+ weeks,True,3
Jack Harlow,Nail Tech,1823065,90238717,31,31,84,1823065,2022-02-18,spotify:track:62Yo3FDddWY8ydu6PW2wyz,Generation Now/Atlantic,84,2022-02-19,206385,True,False,57,1,2022-02-18,2,Nail Tech,spotify:track:62Yo3FDddWY8ydu6PW2wyz,0,1,1,0 days,False,1
"Logic, Eminem",Homicide (feat. Eminem),3785559,90151915,2,2,83,3785559,2019-05-10,spotify:track:2MuMD298IpYqKF367wegUd,Def Jam Recordings,76,2019-05-10,245386,True,False,1,2,2019-05-10,16,Confessions of a Dangerous Mind,spotify:track:2MuMD298IpYqKF367wegUd,0,0,0,0 days,True,2
"Gorillaz, Bad Bunny",Tormenta (feat. Bad Bunny),3590571,90041612,25,12,42,3590571,2023-02-24,spotify:track:38UYeBLfvpnDSG9GznZdnL,Parlophone UK,42,2023-03-03,193463,True,False,69,8,2023-02-24,10,Cracker Island,spotify:track:38UYeBLfvpnDSG9GznZdnL,0,7,7,0 days,True,2
ElyOtto,SugarCrash!,1424992,89932128,185,50,83,1424992,2021-02-20,spotify:track:3FxPbp05KjMBa4HbhAJTH0,Otto Dynamite/RCA Records,83,2021-03-17,80117,True,False,1,1,2020-08-25,1,SugarCrash!,spotify:track:3FxPbp05KjMBa4HbhAJTH0,179,25,204,4+ weeks,False,1
"Macklemore, Kesha",Good Old Days (feat. Kesha),1173889,89879101,63,51,107,1173889,2017-09-22,spotify:track:2Za1AlJNvksouPPWbXpR2X,Bendo LLC,107,2017-10-25,240506,False,False,69,6,2017-09-22,16,GEMINI,spotify:track:2Za1AlJNvksouPPWbXpR2X,0,33,33,0 days,True,2
Tate McRae,It's ok I'm ok,3626510,89815932,16,16,51,3626510,2024-09-13,spotify:track:24XihnoVPWXlKJ4BgXqjVM,RCA Records Label,51,2024-09-13,156521,True,False,80,1,2024-09-12,1,It's ok I'm ok,spotify:track:24XihnoVPWXlKJ4BgXqjVM,1,0,1,<1 week,False,1
"DaBaby, Lil Baby, Moneybagg Yo",TOES (feat. Lil Baby & Moneybagg Yo),1345206,89677041,60,60,90,1345206,2019-09-27,spotify:track:2FvD20Z8aoWIePi7PoN8sG,South Coast Music Group/Interscope Records,90,2020-01-24,136366,True,False,64,8,2019-09-27,13,KIRK,spotify:track:2FvD20Z8aoWIePi7PoN8sG,0,119,119,0 days,True,3
BTS,Run BTS,5477304,89609530,6,6,63,5477304,2022-06-10,spotify:track:69xohKu8C1fsflYAiSNbwM,BIGHIT MUSIC,63,2022-06-10,204939,False,False,74,1,2022-06-10,35,Proof,spotify:track:69xohKu8C1fsflYAiSNbwM,0,0,0,0 days,False,1
Surf Curse,Disco,1796842,89605891,193,76,62,1796842,2024-09-01,spotify:track:2Lumsra3kuU61wXkEKzKaK,Surf Curse,62,2024-09-10,152760,False,False,80,1,2019-06-12,1,Disco,spotify:track:2Lumsra3kuU61wXkEKzKaK,1908,9,1917,4+ weeks,False,1
"Metro Boomin, A$AP Rocky, Roisee","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",2623625,89564837,57,20,49,2623625,2023-06-02,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,Republic Records,49,2023-06-07,256026,False,False,75,2,2023-06-02,13,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),spotify:track:6Ec5LeRzkisa5KJtwLfOoW,0,5,5,0 days,True,3
"Sebastian Yatra, Nacho, Wisin",Alguien Robo,622515,89284653,195,129,167,622515,2017-03-07,spotify:track:5i50gKdLAjjIr7UxRT5IVy,UMLE - Latino,167,2017-05-05,223613,False,False,0,1,2017-02-10,1,Alguien Robó,spotify:track:5i50gKdLAjjIr7UxRT5IVy,25,59,84,3-4 weeks,True,3
"Gym Class Heroes, Adam Levine",Stereo Hearts (feat. Adam Levine),856372,89277239,199,131,119,856372,2021-03-04,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,Decaydance/Fueled By Ramen,119,2021-03-26,210960,False,False,81,4,2011-11-11,11,The Papercut Chronicles II,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,3401,22,3423,4+ weeks,True,2
"Kanye West, Pusha T",Runaway,1466832,89262844,177,134,70,1466832,2023-11-27,spotify:track:3DK6m7It6Pw857FcQftMds,Roc-A-Fella,70,2024-02-02,547733,True,False,82,9,2010-11-22,13,My Beautiful Dark Twisted Fantasy,spotify:track:3DK6m7It6Pw857FcQftMds,4753,67,4820,4+ weeks,True,2
"J Balvin, Jeon, Anitta",Machika,1226525,89129351,67,59,96,1226525,2018-01-19,spotify:track:4vKltMFviBKMdhYu3FDLY0,UMLE - Latino,96,2018-01-27,181733,False,False,44,1,2018-01-19,1,Machika,spotify:track:4vKltMFviBKMdhYu3FDLY0,0,8,8,0 days,True,3
"¥$, Kanye West, Ty Dolla $ign",BURN,4043563,89078347,166,8,43,4043563,2024-02-10,spotify:track:4E3XDKil4ElJt6sXuz5cc6,YZY,43,2024-02-11,111458,True,False,2,9,2024-02-09,16,VULTURES 1,spotify:track:4E3XDKil4ElJt6sXuz5cc6,1,1,2,<1 week,True,3
"The Weeknd, Anitta",São Paulo (feat. Anitta),4876298,88916530,10,7,43,4876298,2024-10-31,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,XO / Republic Records,43,2024-11-01,301623,True,False,81,1,2024-10-31,1,São Paulo,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,0,1,1,0 days,True,2
"Robin Schulz, Alida",In Your Eyes (feat. Alida),1036042,88910461,163,81,107,1036042,2020-03-13,spotify:track:61ZM92T2zaXIVsqncThQzC,WM Germany,107,2020-03-28,208222,False,False,58,1,2020-01-10,3,In Your Eyes (feat. Alida),spotify:track:61ZM92T2zaXIVsqncThQzC,63,15,78,4+ weeks,True,2
"KHEA, Lenny Santos",Ayer Me Llamó Mi Ex,1607059,88842327,148,48,86,1607059,2020-08-22,spotify:track:6C6mUonH6MNdSg5pw7kOc9,Young Flex - Khea,86,2020-08-28,206760,True,False,1,1,2020-08-20,1,Ayer Me Llamó Mi Ex (feat. Lenny Santos),spotify:track:6C6mUonH6MNdSg5pw7kOc9,2,6,8,<1 week,True,2
Dua Lipa,Illusion,3966008,88809760,11,11,47,3966008,2024-04-12,spotify:track:59xD5osEFsaNt5PXfIKUnX,Urban,47,2024-04-12,188143,False,False,26,1,2024-04-11,4,Illusion,spotify:track:59xD5osEFsaNt5PXfIKUnX,1,0,1,<1 week,False,1
Tyga,SWISH,1345344,88722928,141,51,98,1345344,2018-07-26,spotify:track:55GiOwtxNajXVbpjjIzMnD,Last Kings Music / EMPIRE,98,2018-07-27,194935,True,False,57,1,2018-07-25,1,SWISH,spotify:track:55GiOwtxNajXVbpjjIzMnD,1,1,2,<1 week,False,1
"Ozuna, Romeo Santos",El Farsante - Remix,873725,88599256,187,91,132,873725,2018-02-03,spotify:track:7uYgVgRSgqluZclLS7wpp4,VP Records Corp/Dimelo Vi,132,2018-04-14,258000,False,False,67,1,2018-01-30,1,El Farsante (Remix),spotify:track:7uYgVgRSgqluZclLS7wpp4,4,70,74,<1 week,True,2
Harry Styles,Little Freak,7153121,88585195,6,6,48,7153121,2022-05-20,spotify:track:3i058E8uxTsYqJ5NWZzqSj,Columbia,48,2022-05-20,202183,False,False,72,6,2022-05-20,13,Harry's House,spotify:track:3i058E8uxTsYqJ5NWZzqSj,0,0,0,0 days,False,1
Demi Lovato,Cool for the Summer,1627374,88481582,140,38,80,1627374,2022-03-19,spotify:track:3uwnnTQcHM1rDqSfA4gQNz,Hollywood Records,80,2022-03-25,214739,True,False,77,2,2015-01-01,11,Confident,spotify:track:3uwnnTQcHM1rDqSfA4gQNz,2634,6,2640,4+ weeks,False,1
Julia Michaels,"Heaven - From ""Fifty Shades Freed"" Soundtrack",1669974,88455318,154,32,82,1669974,2018-02-08,spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb,UME - Global Clearing House,82,2018-03-07,191813,False,False,0,1,2018-01-26,1,"Heaven [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb,13,27,40,1-2 weeks,False,1
"Lil Skies, Landon Cube",Nowadays (feat. Landon Cube),944539,88338190,193,80,118,944539,2018-01-05,spotify:track:689uBlyIufk2LUhAwjny4w,All We Got Ent.,118,2018-03-01,203907,True,False,47,1,2017-12-20,1,Nowadays (feat. Landon Cube),spotify:track:689uBlyIufk2LUhAwjny4w,16,55,71,2-3 weeks,True,2
"Yo Gotti, Nicki Minaj",Rake It Up (feat. Nicki Minaj),938966,88273363,196,74,131,938966,2017-07-26,spotify:track:6c7D34787LOtPm8tzhsLgH,Epic/CMG,131,2017-09-22,276333,True,False,0,1,2017-06-23,1,Rake It Up,spotify:track:6c7D34787LOtPm8tzhsLgH,33,58,91,4+ weeks,True,2
"Ozuna, Romeo Santos",Ibiza,946698,88163574,135,93,123,946698,2018-08-24,spotify:track:1h9P5WJwyvK8OB7O2YiXgp,VP Records Corp/Dimelo Vi,123,2018-10-31,200746,False,False,65,7,2018-08-24,20,Aura,spotify:track:1h9P5WJwyvK8OB7O2YiXgp,0,68,68,0 days,True,2
Lana Del Rey,Young And Beautiful,1539192,88106166,197,120,69,1539192,2024-02-04,spotify:track:2nMeu6UenVvwUktBCpLMK9,Polydor Records,69,2024-08-21,236053,False,False,85,1,2013-01-01,1,Young And Beautiful,spotify:track:2nMeu6UenVvwUktBCpLMK9,4051,199,4250,4+ weeks,False,1
Nirvana,Something In The Way,2315178,88095740,95,10,68,2315178,2022-03-06,spotify:track:2WL6GQzPuK9Nrpy9XwNEbz,Geffen,68,2022-03-14,232203,False,False,43,12,1991-09-24,75,Nevermind (30th Anniversary Super Deluxe),spotify:track:2WL6GQzPuK9Nrpy9XwNEbz,11121,8,11129,4+ weeks,False,1
Mahalini,Sial,1622766,87893760,180,62,69,1622766,2023-02-07,spotify:track:6dXiWwFrcGieqnoLYzPNp5,HITS Records,69,2023-02-18,243724,False,False,2,7,2023-01-23,10,fábula,spotify:track:6dXiWwFrcGieqnoLYzPNp5,15,11,26,2-3 weeks,False,1
